RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  135    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72  117     0     0  con    0  1.0E+00  1.2E-02  4.520E-01  1.737E-01
   73  118     0     0  con    0  1.0E+00  1.8E-01  2.012E-01  1.717E-01
   74  119     0     0  con    0  1.0E+00  4.2E-01  1.037E+00  1.700E-01
   75  120     0     0  con    0  1.0E+00  5.6E-02  2.335E-01  1.683E-01
   76  121     0     0  con    0  1.0E+00  1.9E-01  2.351E-01  1.672E-01
   77  122     0     0  con    0  1.0E+00  3.2E-01  6.009E-01  1.666E-01
   78  123     0     0  con    0  1.0E+00  7.5E-02  3.823E-01  1.663E-01
   79  124     0     0  con    0  1.0E+00  5.5E-02  3.070E-01  1.660E-01
   80  125     0     0  con    0  1.0E+00  1.1E-01  2.893E-01  1.658E-01
   81  126     0     0  con    0  1.0E+00  7.9E-02  3.637E-01  1.654E-01
   82  128     0     0  con    1  2.8E-01  1.2E-01  5.189E-01  1.654E-01
   83  129     0     0  con    0  1.0E+00  5.4E-02  4.269E-01  1.649E-01
   84  131     0     0  con    1  1.7E-01  1.8E-02  2.968E-01  1.647E-01
   85  134     0     0  con    2  5.2E-02  1.6E-03  2.981E-01  1.647E-01
   86  138     0     0  con    3  1.9E-02  1.2E-03  3.985E-01  1.647E-01
   87  139     0     0  con    0  1.0E+00  3.0E-02  3.745E-01  1.647E-01
   88  140     0     0  con    0  1.0E+00  2.2E-02  3.277E-01  1.647E-01
   89  141     0     0  con    0  1.0E+00  4.0E-02  3.247E-01  1.646E-01
   90  142     0     0  con    0  1.0E+00  5.3E-02  3.847E-01  1.646E-01
   91  143     0     0  con    0  1.0E+00  1.0E-01  3.738E-01  1.645E-01
   92  144     0     0  con    0  1.0E+00  6.5E-02  3.650E-01  1.645E-01
   93  145     0     0  con    0  1.0E+00  9.3E-02  4.059E-01  1.644E-01
   94  146     0     0  con    0  1.0E+00  1.9E-02  4.073E-01  1.644E-01
   95  147     0     0  con    0  1.0E+00  9.2E-03  3.819E-01  1.643E-01
   96  149     0     0  con    1  5.1E-01  5.9E-02  3.365E-01  1.643E-01
   97  151     0     0  con    1  4.4E-01  2.7E-02  4.402E-01  1.643E-01
   98  152     0     0  con    0  1.0E+00  1.2E-02  4.451E-01  1.643E-01
   99  154     0     0  con    1  3.0E-01  1.3E-02  2.799E-01  1.643E-01
  100  155     0     0  con    0  1.0E+00  2.1E-02  3.100E-01  1.643E-01
  101  157     0     0  con    1  2.0E-01  3.1E-02  3.358E-01  1.642E-01
  102  158     0     0  con    0  1.0E+00  7.4E-03  3.415E-01  1.642E-01
  103  159     0     0  con    0  1.0E+00  4.4E-02  3.467E-01  1.640E-01
  104  161     0     0  con    1  1.8E-01  9.4E-02  3.029E-01  1.639E-01
  105  162     0     0  con    0  1.0E+00  2.4E-02  3.065E-01  1.639E-01
  106  165     0     0  con    2  2.0E-02  8.3E-03  3.119E-01  1.639E-01
  107  170     0     0  con    4  3.9E+01  5.0E-01  3.169E-01  1.624E-01
  108  173     0     0  con    2  1.7E-01  7.7E-01  1.371E+00  1.609E-01
  109  175     0     0  con    1  4.6E-01  5.5E-01  5.737E-01  1.563E-01
  110  176     0     0  con    0  1.0E+00  7.6E-01  1.919E+00  1.524E-01
  111  177     0     0  con    0  1.0E+00  2.2E-01  9.030E-01  1.445E-01
  112  179     0     0  con    1  2.0E-01  3.2E-01  5.352E-01  1.425E-01
  113  181     0     0  con    1  4.9E-01  3.5E-01  1.546E+00  1.403E-01
  114  182     0     0  con    0  1.0E+00  4.4E-01  8.995E-01  1.356E-01
  115  183     0     0  con    0  1.0E+00  2.9E-01  5.663E-01  1.290E-01
  116  185     0     0  con    1  4.6E-01  3.5E-01  1.607E+00  1.228E-01
  117  186     0     0  con    0  1.0E+00  3.4E-01  8.039E-01  1.123E-01
  118  187     0     0  con    0  1.0E+00  1.0E+00  6.235E-01  1.033E-01
  119  189     0     0  con    1  4.4E-01  1.7E-01  8.044E-01  1.008E-01
  120  190     0     0  con    0  1.0E+00  9.1E-01  1.426E+00  9.271E-02
  121  191     0     0  con    0  1.0E+00  1.7E-01  1.763E-01  8.909E-02
  122  192     0     0  con    0  1.0E+00  8.7E-01  1.562E-01  8.516E-02
  123  194     0     0  con    1  3.1E-01  6.2E-01  4.408E-01  8.364E-02
  124  195     0     0  con    0  1.0E+00  7.2E-01  3.632E-01  8.209E-02
  125  196     0     0  con    0  1.0E+00  3.5E-01  5.395E-01  8.148E-02
  126  197     0     0  con    0  1.0E+00  2.6E-01  1.974E-01  8.080E-02
  127  198     0     0  con    0  1.0E+00  3.5E-01  1.071E-01  8.057E-02
  128  199     0     0  con    0  1.0E+00  3.3E-02  6.101E-02  8.040E-02
  129  200     0     0  con    0  1.0E+00  1.3E-01  7.605E-02  8.000E-02

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 8.984E-02 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  135    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.737E+00  6.604E-01
    1    5     1     0  ---    3  1.4E-03  9.2E-03  4.486E+00  6.326E-01
    2    6     0     0  con    0  1.0E+00  8.4E-03  3.790E+00  5.877E-01
    3    7     0     0  con    0  1.0E+00  5.6E-02  2.441E+00  4.313E-01
    4    8     0     0  con    0  1.0E+00  2.9E-02  1.489E+00  3.871E-01
    5    9     0     0  con    0  1.0E+00  5.6E-02  4.179E-01  3.338E-01
    6   10     0     0  con    0  1.0E+00  1.0E-01  6.436E-01  2.797E-01
    7   11     0     0  con    0  1.0E+00  7.6E-02  1.855E-01  2.593E-01
    8   12     0     0  con    0  1.0E+00  1.0E-01  1.878E-01  2.493E-01
    9   14     0     0  con    1  1.5E-01  1.2E-02  1.323E-01  2.479E-01
   10   15     0     0  con    0  1.0E+00  2.2E-02  3.304E-01  2.470E-01
   11   16     0     0  con    0  1.0E+00  4.0E-02  4.462E-01  2.459E-01
   12   17     0     0  con    0  1.0E+00  6.6E-02  4.155E-01  2.440E-01
   13   18     0     0  con    0  1.0E+00  5.5E-02  2.295E-01  2.387E-01
   14   19     0     0  con    0  1.0E+00  2.5E-01  8.490E-01  2.248E-01
   15   21     0     0  con    1  1.4E-01  7.9E-02  5.926E-02  2.212E-01
   16   25     0     0  con    3  3.7E+00  2.3E-01  8.623E-02  2.117E-01
   17   27     0     0  con    1  1.2E-01  3.2E-02  1.480E-01  2.115E-01
   18   29     0     0  con    1  2.1E-01  1.8E-02  4.191E-02  2.111E-01
   19   30     0     0  con    0  1.0E+00  2.3E-02  1.372E-01  2.109E-01
   20   32     0     0  con    1  5.0E+00  1.5E-02  6.638E-02  2.106E-01
   21   33     0     0  con    0  1.0E+00  8.4E-02  2.956E-01  2.103E-01
   22   34     0     0  con    0  1.0E+00  3.2E-02  4.922E-02  2.101E-01
   23   35     0     0  con    0  1.0E+00  1.9E-02  7.914E-02  2.100E-01
   24   36     0     0  con    0  1.0E+00  2.8E-03  5.274E-02  2.099E-01
   25   37     0     0  con    0  1.0E+00  1.1E-02  3.713E-02  2.099E-01
   26   39     0     0  con    1  5.0E+00  2.5E-03  3.788E-02  2.099E-01
   27   40     0     0  con    0  1.0E+00  5.0E-03  8.516E-02  2.098E-01
   28   41     0     0  con    0  1.0E+00  1.7E-02  2.072E-01  2.095E-01
   29   42     0     0  con    0  1.0E+00  4.0E-02  2.843E-01  2.090E-01
   30   47     0     0  con    4  9.5E-02  7.6E-02  7.706E-02  2.080E-01
   31   49     0     0  con    1  6.6E-02  2.8E-02  3.555E-02  2.077E-01
   32   52     0     0  con    2  7.6E-01  1.7E-01  1.410E-01  2.055E-01
   33   56     0     0  con    3  1.2E-01  1.5E-02  1.356E-01  2.054E-01
   34   58     0     0  con    1  7.6E-02  8.4E-03  1.419E-01  2.054E-01
